201,Inglés,1-3,Escucha,"Reconozco cuando me hablan en inglés y reacciono de manera verbal y no verbal. 2, 3",2020-01-25 18:12:03.453072-05
202,Inglés,1-3,Escucha,"Entiendo cuando me saludan y se despiden de mí. 2, 3",2020-01-25 18:12:03.453072-05
203,Inglés,1-3,Escucha,"Sigo instrucciones relacionadas con actividades de clase y recreativas propuestas por mi profesor. 1, 2",2020-01-25 18:12:03.453072-05
204,Inglés,1-3,Escucha,"Comprendo canciones, rimas y rondas infantiles, y lo demuestro con gestos y movimientos. 2, 3",2020-01-25 18:12:03.453072-05
205,Inglés,1-3,Escucha,"Demuestro comprensión de preguntas sencillas sobre mí, mi familia y mi entorno. 1",2020-01-25 18:12:03.453072-05
206,Inglés,1-3,Escucha,Comprendo descripciones cortas y sencillas de objetos y lugares conocidos. 2,2020-01-25 18:12:03.453072-05
207,Inglés,1-3,Escucha,Identifico a las personas que participan en una conversación. 3,2020-01-25 18:12:03.453072-05
208,Inglés,1-3,Escucha,"Sigo la secuencia de un cuento corto apoyado en imágenes. 1, 2",2020-01-25 18:12:03.453072-05
209,Inglés,1-3,Escucha,"Entiendo la idea general de una historia contada por mi profesor cuando se apoya en movimientos, gestos y cambios de voz. 2, 3",2020-01-25 18:12:03.453072-05
210,Inglés,1-3,Escucha,Reconozco que hay otras personas como yo que se comunican en inglés. 3,2020-01-25 18:12:03.453072-05
211,Inglés,1-3,Escucha,Comprendo secuencias relacionadas con hábitos y rutinas. 2,2020-01-25 18:12:03.453072-05
212,Inglés,1-3,Lectura,"Identifico palabras relacionadas entre sí sobre temas que me son familiares. 1, 2",2020-01-25 18:12:03.453072-05
213,Inglés,1-3,Lectura,"Reconozco palabras y frases cortas en inglés en libros, objetos, juguetes, propagandas y lugares de mi escuela. 3",2020-01-25 18:12:03.453072-05
214,Inglés,1-3,Lectura,Relaciono ilustraciones con oraciones simples. 1,2020-01-25 18:12:03.453072-05
215,Inglés,1-3,Lectura,"Reconozco y sigo instrucciones sencillas, si están ilustradas. 1, 2",2020-01-25 18:12:03.453072-05
216,Inglés,1-3,Lectura,"Puedo predecir una historia a partir del título, las ilustraciones y las palabras clave. 1, 2",2020-01-25 18:12:03.453072-05
217,Inglés,1-3,Lectura,"Sigo la secuencia de una historia sencilla. 1, 2",2020-01-25 18:12:03.453072-05
218,Inglés,1-3,Lectura,"Utilizo diagramas para organizar la información de cuentos cortos leídos en clase. 1, 2",2020-01-25 18:12:03.453072-05
219,Inglés,1-3,Lectura,Disfruto la lectura como una actividad de esparcimiento que me ayuda a descubrir el mundo.,2020-01-25 18:12:03.453072-05
220,Inglés,1-3,Escritura,Copio y transcribo palabras que comprendo y que uso con frecuencia en el salón de clase. 1,2020-01-25 18:12:03.453072-05
221,Inglés,1-3,Escritura,Escribo el nombre de lugares y elementos que reconozco en una ilustración. 1,2020-01-25 18:12:03.453072-05
222,Inglés,1-3,Escritura,"Respondo brevemente a las preguntas “qué, quién, cuándo y dónde”, si se refieren a mi familia, mis amigos o mi colegio. 1",2020-01-25 18:12:03.453072-05
223,Inglés,1-3,Escritura,"Escribo información personal en formatos sencillos. 1, 2",2020-01-25 18:12:03.453072-05
224,Inglés,1-3,Escritura,"Escribo mensajes de invitación y felicitación usando formatos sencillos. 1, 2",2020-01-25 18:12:03.453072-05
225,Inglés,1-3,Escritura,Demuestro conocimiento de las estructuras básicas del inglés. 1,2020-01-25 18:12:03.453072-05
226,Inglés,1-3,Monólogos,"Recito y canto rimas, poemas y trabalenguas que comprendo, con ritmo y entonación adecuados. 1, 3",2020-01-25 18:12:03.453072-05
227,Inglés,1-3,Monólogos,"Expreso mis sentimientos y estados de ánimo. 1, 2",2020-01-25 18:12:03.453072-05
228,Inglés,1-3,Monólogos,"Menciono lo que me gusta y lo que no me gusta. 1, 2",2020-01-25 18:12:03.453072-05
